stt;maSV;hoLot;ten;ngaySinh; malop;tenlop;dtLienLac;email;queQuan;ghichu
1;17130046;Bui;Hoang Gia;11/11/1999;DT;A;093303412;giathah26@gmail.com; Tran Khanh Du Ba Ria;khong
2;17130088;Nguyen;Huy Phan;22/3/1999;DT;B;093303432;giathah25@gmail; Tran Hung Dao Ben Tre ;khong
3;17130089;Nguyen;Lam Hung;22/1/1999;DT;C;093303433;a88@gmail.com; Hung Vuong LaGi Binh Thuan;khong
4;17130090;Nguyen;Tan Huy;22/8/1999;DT;D;093303430;b12@gmail.com; CMT8 Tan Binh Ho Chi Minh;khong
5;17130091;Nguyen;Van Luan;22/12/1999;DT;A;093303429; a18@gmail.com; Tran Quoc Toan Ba Ria;khong
6;17130092;Nguyen;Quoc Hung;22/10/1999;DT;B;093303428;a77@gmail.com; Lam Van Toan Ha Noi;khong
7;17130093;Nguyen;Ngoc Lam;22/9/1999;DT;C;093303467;a63@gmail.com; Linh Chieu Thu Duc HCM;khong
8;17130094;Nguyen;Trong Bang;2/7/1999;DT;E;093303413;a324@gmail.com; Linh Xuan Thu Duc HCM;khong
9;17130095;Nguyen;An Nhien;22/6/1999;DT;A;093303490;b456@gmail.com; Truong Tho Thu Duc HCM;khong
10;17130096;Nguyen;Huy Thai;2/5/1999;DT;B;093303456;a854@gmail.com; Linh Dong THu Duc HCM;khong
11;17130097;Nguyen;Van Lam;2/4/1999;DT;C;093303416;a856@gmail.com; Truong THo Thu Duc;khong
12;17130098;Nguyen;Lam Hung;2/3/1999;DT;D;093303492;a123@gmail.com; Xuan Thai Lam An HCM;khong
13;17130099;Nguyen;Thai Pham;2/1/1999;DT;A;093303467;a124@gmail.com; Xuan Thai Lam An HCM;khong
14;17130100;Nguyen; Lam Hai;2/2/1999;DT;B;09330377;125@gmail.com; Xuan Thai Lam An HCM;khong
15;17130082;Nguyen;Tho Trang;22/5/1999;DT;C;0933033;127@gmail.com; Xuan Thai Lam An HCM;khong
16;17130085;Nguyen;Nam Anh;22/9/1999;DT;A;093303432;128@gmail.com; Xuan Thai Lam An HCM;khong
17;17130070;Nguyen;Thai Pham;2/2/1999;NDT;B;093303431;129@gmail.com; Xuan Thai Lam An HCM;khong
18;17130073;Nguyen;Manh Vu;22/4/1999;NDT;C;093303420;12@gmail.com; Xuan Thai Lam An HCM;khong
19;17130076;Nguyen;Trong Lam;2/3/1999;NDT;A;093303416;13@gmail.com; Xuan Thai Lam An HCM;khong
20;17130078;Nguyen;Quoc Thu;22/11/1999;NDT;B;093303415;14@gmail.com; Xuan Thai Lam An HCM;khong
